,team_name,url,team_id
65,Quantum Bellator Fire,/stats/teams/7367/Quantum%20Bellator%20Fire?startDate=2016-10-01&endDate=2017-10-01,7367
66,Playing Ducks,/stats/teams/7566/Playing%20Ducks?startDate=2016-10-01&endDate=2017-10-01,7566
67,compLexity,/stats/teams/5005/compLexity?startDate=2016-10-01&endDate=2017-10-01,5005
68,FlipSid3,/stats/teams/5988/FlipSid3?startDate=2016-10-01&endDate=2017-10-01,5988
69,New4,/stats/teams/4865/New4?startDate=2016-10-01&endDate=2017-10-01,4865
70,fnatic Academy,/stats/teams/7169/fnatic%20Academy?startDate=2016-10-01&endDate=2017-10-01,7169
71,Spirit,/stats/teams/7020/Spirit?startDate=2016-10-01&endDate=2017-10-01,7020
72,LDLC,/stats/teams/4674/LDLC?startDate=2016-10-01&endDate=2017-10-01,4674
73,Dark Sided,/stats/teams/7212/Dark%20Sided?startDate=2016-10-01&endDate=2017-10-01,7212
74,Fragsters,/stats/teams/6855/Fragsters?startDate=2016-10-01&endDate=2017-10-01,6855
75,LGD,/stats/teams/6899/LGD?startDate=2016-10-01&endDate=2017-10-01,6899
76,Virtus.pro,/stats/teams/5378/Virtus.pro?startDate=2016-10-01&endDate=2017-10-01,5378
77,FIVE,/stats/teams/6908/FIVE?startDate=2016-10-01&endDate=2017-10-01,6908
78,EMP,/stats/teams/7479/EMP?startDate=2016-10-01&endDate=2017-10-01,7479
